"","latitude","longitude","count"
"585",-73.9605343,40.8124199,2408
"586",-73.9046871,40.7294635,20
"587",-73.954048,40.808865,32
"588",-73.8449478,40.7211538,132
"589",-73.9927978,40.742903,672
"590",-73.9853324,40.7652341,76
"591",-73.8622805,40.7499212,417
"592",-74.1801728,40.6092295,5
"593",-73.9397819,40.8472299,151
"594",-73.9422841,40.6684629,66
"595",-73.892508,40.8549939,6
"596",-73.9723448,40.7907184,28
"597",-73.873036,40.7340415,933
"598",-73.9332493,40.8449011,20
"599",-73.9136187,40.8523008,252
"600",-73.9050863,40.8327501,1987
"601",-73.9562105,40.8134463,667
"602",-73.9050863,40.8327501,1987
"603",-73.9964877,40.719057,157
"604",-73.939393,40.8043256,543
"605",-73.8961789,40.6579899,1009
"606",-73.838388,40.682862,53
"607",-73.8338989,40.7571997,65
"608",-73.9870435,40.7421612,1162
"609",-73.7917348,40.6865366,9
"610",-73.9724322,40.7811022,57
"611",-73.9901731,40.7582759,303
"612",-73.9757235,40.7862483,86
"613",-73.923672,40.692626,35
"614",-73.8697898,40.830898,263
"615",-74.0119164,40.7098202,62
"616",-73.7390612,40.7073529,352
"617",-74.0079584,40.7403074,116
"618",-73.9171722,40.7200635,2
"619",-73.9429508,40.7161877,53
"620",-74.0055024,40.7352188,11
"621",-73.9850456,40.6626586,3
"622",-73.9870435,40.7421612,1162
"623",-73.9384664,40.6548627,42
"624",-73.9424401,40.8280385,317
"625",-73.9063888,40.7404155,60
"626",-73.9414249,40.8309147,25
"627",-73.9835248,40.5911166,17
"628",-73.9047654,40.6761271,1203
"629",-73.990517,40.7126086,137
"630",-73.9101145,40.7423699,145
"631",-73.8801257,40.7501911,458
"632",-73.9807682,40.7256804,112
"633",-74.0059728,40.7127753,1471
"634",-73.8990005,40.8654309,337
"635",-73.943411,40.8276191,17
"636",-74.007206,40.637755,726
"637",-73.9550753,40.5821006,6
"638",-73.8513803,40.7339828,44
"639",-73.9586113,40.8133806,9
"640",-73.8904498,40.6584573,377
"641",-73.9189152,40.6349533,280
"642",-73.8181218,40.761461,230
"643",-73.991633,40.754707,261
"644",-73.9050863,40.8327501,1987
"645",-73.9428128,40.6923678,37
"646",-73.9830584,40.5914598,66
"647",-73.9634803,40.6717905,498
"648",-73.8875183,40.8647526,272
"649",-73.9847724,40.7692123,437
"650",-73.8961789,40.6579899,1009
"651",-73.8216681,40.7816876,74
"652",-74.0062534,40.7070767,172
"653",-73.9909686,40.7552441,260
"654",-73.9145127,40.7658609,126
"655",-73.9849817,40.7379216,103
"656",-73.9970929,40.7222925,106
"657",-73.9485659,40.6414369,752
"658",-73.7159845,40.7448208,44
"659",-73.9840674,40.7491122,304
"660",-73.9994485,40.7630261,130
"661",-73.9495032,40.7147686,36
"662",-73.9882141,40.7607273,280
"663",-73.908299,40.699882,314
"664",-73.9870156,40.6978595,47
"665",-73.8697898,40.830898,263
"666",-73.8853702,40.8700618,103
"667",-73.9463767,40.6919654,148
"668",-73.9181011,40.8417352,16
"669",-73.9770369,40.7493762,157
"670",-73.9870435,40.7421612,1162
"671",-73.9594952,40.7630174,841
"672",-73.9634803,40.6717905,498
"673",-73.793944,40.6656417,62
"674",-73.967331,40.7601787,85
"675",-73.9329531,40.6391626,63
"676",-74.0119164,40.7098202,62
"677",-73.9733948,40.686054,10
"678",-73.9870435,40.7421612,1162
"679",-73.8499172,40.827097,147
"680",-74.0107805,40.621362,7
"681",-73.9984746,40.7453063,165
"682",-73.7957487,40.6669522,83
"683",-73.9863372,40.7362057,123
"684",-73.9617361,40.7641964,916
"685",-73.8605717,40.8306483,4
"686",-73.984435,40.7287766,118
"687",-73.9193713,40.843039,6
"688",-74.0059728,40.7127753,1471
"689",-73.9927978,40.742903,672
"690",-73.9870435,40.7421612,1162
"691",-73.9605343,40.8124199,2408
"692",-73.9536072,40.7761149,68
"693",-73.9050863,40.8327501,1987
"694",-73.9878811,40.6059991,194
"695",-74.0013655,40.7465137,3
"696",-73.9863347,40.7249024,88
"697",-73.9893629,40.7595716,184
"698",-74.0014376,40.7383997,75
"699",-73.999149,40.628263,59
"700",-73.9131066,40.6466536,165
"701",-73.9859409,40.722285,61
"702",-74.0060919,40.6093466,204
"703",-73.9521899,40.7780641,187
"704",-73.9919084,40.5980136,4
"705",-73.9750135,40.7876872,55
"706",-73.9574725,40.7726397,110
"707",-73.9047654,40.6761271,1203
"708",-74.072535,40.622464,40
"709",-73.8173535,40.5885234,279
"710",-73.9882141,40.7607273,280
"711",-73.91385,40.8439701,22
"712",-73.9901731,40.7582759,303
"713",-73.9729224,40.785466,433
"714",-73.873036,40.7340415,933
"715",-73.9050863,40.8327501,1987
"716",-73.9507498,40.7832685,55
"717",-73.9011331,40.8416035,116
"718",-73.8173535,40.5885234,279
"719",-73.9704172,40.7565061,49
"720",-73.9860293,40.7226415,212
"721",-73.9978385,40.6502586,100
"722",-73.9716919,40.7545952,59
"723",-73.8499172,40.827097,147
"724",-73.9870435,40.7421612,1162
"725",-73.7903995,40.7401437,603
"726",-73.8610566,40.8543732,54
"727",-73.7903995,40.7401437,603
"728",-73.8927009,40.8413665,5
"729",-73.8856341,40.7220335,12
"730",-73.9136187,40.8523008,252
"731",-73.9816409,40.7447176,64
"732",-74.1119734,40.5750496,7
"733",-73.9847724,40.7692123,437
"734",-73.9634803,40.6717905,498
"735",-73.8817708,40.8801292,12
"736",-73.8676435,40.8563009,464
"737",-73.7890685,40.709844,143
"738",-73.9692537,40.7576439,72
"739",-73.929612,40.685636,62
"740",-74.1477869,40.631338,64
"741",87.8549755,22.9867569,668
"742",-73.9870435,40.7421612,1162
"743",-73.9562105,40.8134463,667
"744",-73.737165,40.708857,523
"745",-73.8432571,40.8435443,9
"746",-73.8876427,40.7664056,100
"747",-73.9080316,40.8369709,27
"748",-73.9572593,40.6083667,55
"749",-73.9047654,40.6761271,1203
"750",-73.9075987,40.884438,142
"751",-73.967331,40.7601787,85
"752",-73.9901717,40.6191321,192
"753",-73.9605343,40.8124199,2408
"754",-73.99492,40.621994,112
"755",-73.873036,40.7340415,933
"756",-73.8114809,40.699349,25
"757",-73.8890281,40.7654021,156
"758",-73.7903995,40.7401437,603
"759",-73.8875183,40.8647526,272
"760",-73.8924719,40.8676914,11
"761",-73.873036,40.7340415,933
"762",-73.92593,40.7668177,82
"763",-73.967115,40.689561,20
"764",-73.8968336,40.8453633,10
"765",-73.9631313,40.6136033,802
"766",-73.9499165,40.6760979,111
"767",-73.9901731,40.7582759,303
"768",-73.7576577,40.7336195,167
"769",-73.8801257,40.7501911,458
"770",-73.9643414,40.7630715,49
"771",-73.7876002,40.726841,34
"772",-73.9512553,40.7302007,118
"773",-73.8659649,40.8786036,6
"774",-73.8181218,40.761461,230
"775",-73.8946438,40.8656544,652
